ID;recording;subnauticLocation_ID
59101ff5-c8a6-4bc3-804c-329d890090c8;Pressure gauges flutter as a slow tremor runs along the trench walls, metallic echoes rising from depths that feel older than the map;cfd8e0f4-7dca-436a-ad0e-59ebb60c3b33
b6c21294-e31d-4f17-8176-34c4ec95a0a8;Warm currents shimmer with schooling fish, cameras catching lens flares while a lazy surf of sand rolls across the seabed;d2f4e8b1-3c5a-4f7a-9f3e-2b6e4c8f9a12
5399c13a-2704-4cfd-8af4-3b07f6a63292;Towering fronds sway like cathedral pillars, shadows dart between stalks as stray debris snags and releases with soft thuds;a7e5b6c3-1f4a-4d2e-9f8b-2c3d4e5f6a7b
8547dd05-c0f7-4963-968c-ede0f1a575f7;Every ping multiplies into wandering ghosts, guidance systems double check bearings while a distant drip repeats like a metronome;b1e2c3d4-5f6a-7b8c-9d0e-1f2a3b4c5d6e
ee638418-304f-468f-a6d7-dbf2997eba26;Bioluminescent spires pulse in gentle waves, plankton gather in halos and the seabed glows like a sleeping city;e7f8a9b0-c1d2-e3f4-a5b6-c7d8e9f0a1b2
ac2603fd-6b88-4317-a6d7-d5cd73d24edb;An unknown submarine has appeared here, possible from another expedition? It is carving Cetoan runes into a struce, it says ⚜ ⧫ ⟁ ⦿;f0e1d2c3-b4a5-6c7d-8e9f-0a1b2c3d4e5f
d1751ac7-1795-4394-9911-c9b1149af200;Ancient housings vibrate in irregular bursts, loose panels rattle and weak blue arcs briefly stitch the darkness;a2b3c4d5-e6f7-8a9b-0c1d-2e3f4a5b6c7d
05cd5d5f-a61d-4d64-af8f-e8c35e596fc1;Water lies glass smooth and reflective, the sub’s lights mirror perfectly while tiny ripples form from no obvious source;c3d4e5f6-a7b8-9c0d-1e2f-3a4b5c6d7e8f
470136df-8c47-49f5-80d2-bc5498ad6468;A hairline glow leaks from the rift, temperature dips and chains of microbubbles rise in steady columns;d4e5f6a7-b8c9-0d1e-2f3a-4b5c6d7e8f9a
8d67f00c-2f6f-44ae-9b4d-f27c7277eb27;Currents whistle through coral corridors, sonar returns loop into melodies and pathfinding loses confidence at every turn;e5f6a7b8-c9d0-1e2f-3a4b-5c6d7e8f9a0b
ebb55e12-9c2d-46ab-b573-7fd6b9feae16;Low frequency pulses throb with clockwork regularity, instruments sync unintentionally and crew report a tingling in their palms;f6a7b8c9-d0e1-2f3a-4b5c-6d7e8f9a0b1c
4180a42b-5dcd-457e-a33b-4e1079654a29;Barnacled beams creak as if remembering cargo, flakes fall like snow and a stubborn mooring light sputters back to life;a8b9c0d1-e2f3-4a5b-6c7d-8e9f0a1b2c3d
8da9d628-a24e-4f6c-83cc-75ea5529734b;Kelp twists into slow vortices, beacons drift in lazy spirals and the compass needs constant nudging to hold true;b9c0d1e2-f3a4-5b6c-7d8e-9f0a1b2c3d4e
2160884d-a3ab-4999-b456-d6bcb054f73b;Fields of plankton ignite around the hull like rising constellations, predators linger at the edge of the glow and keep their distance;c0d1e2f3-a4b5-6c7d-8e9f-0a1b2c3d4e5f
82a74866-bce2-485d-ab92-85ac29bc7bd6;Loose tools and shells drift unpredictably, thrusters feather to hold position while gravity seems to forget its lines;d1e2f3a4-b5c6-7d8e-9f0a-1b2c3d4e5f6a
cd771e9c-4ba4-4a44-9141-0b2d28ef0687;Clear horizons allow sweeping sonar, distant leviathan calls register as clean arcs and a calm current steadies the mast;e2f3a4b5-c6d7-8e9f-0a1b-2c3d4e5f6a7b
486c7988-5512-4da1-a61c-02df1ff797c2;Cracked panes shelter small creatures, pearly strings of trapped air escape in bursts and the frame ticks as it settles;f3a4b5c6-d7e8-9f0a-1b2c-3d4e5f6a7b8c
0ad99bfe-10b1-4db1-82d4-7b278a7592c8;A hush rides the ledge with faraway murmurs, thin veils of sediment drift past and the water carries secrets from elsewhere;a4b5c6d7-e8f9-0a1b-2c3d-4e5f6a7b8c9d
ef0079b4-6ef4-4889-803e-e2591e64b851;Light falls off in a single step, sensors widen their eyes and tall silhouettes pass just outside comfortable range;b5c6d7e8-f9a0-1b2c-3d4e-5f6a7b8c9d0e
4113f398-1eff-4e4d-98b0-5070660f4ec6;Stone arches frame a broad corridor, pressure wakes ripple across instruments and something immense glides beyond view;c6d7e8f9-a0b1-2c3d-4e5f-6a7b8c9d0e1f
5f4e2b7a-3c6d-4f8e-9a1b-2c3d4e5f6a7b;Faint alarms echo from the base, hull integrity wavers and distant impacts rattle the structure in an inevitable countdown;d7e8f9a0-b1c2-3d4e-5f6a-7b8c9d0e1f2a
